time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2020/02/28/11:00:07.347109,11367,0,0,,0,0,30.6730807132,-96.3728974905,85.3986209123,"(0.0, 0.6781578660011292, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.366961,11368,0,0,,0,0,30.6730807116,-96.3728974911,85.3963759465,"(0.0, 0.6789030432701111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.387025,11369,0,0,,0,0,30.6730807878,-96.3728975142,85.4264165313,"(0.0, 0.6696999669075012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.407025,11370,0,0,,0,0,30.6730807856,-96.3728975148,85.4242116379,"(0.0, 0.6706424951553345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.426927,11371,0,0,,0,0,30.6730807847,-96.3728975157,85.421998719,"(0.0, 0.6715898513793945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.446923,11372,0,0,,0,0,30.673080783,-96.372897516,85.4197859966,"(0.0, 0.672542154788971, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.467026,11373,0,0,,0,0,30.6730807812,-96.3728975166,85.4175866598,"(0.0, 0.6734994053840637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.487119,11374,0,0,,0,0,30.6730807796,-96.3728975177,85.4153650776,"(0.0, 0.6744616031646729, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.506921,11375,0,0,,0,0,30.6730807773,-96.3728975187,85.4132125368,"(0.0, 0.6754287481307983, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.527006,11376,0,0,,0,0,30.6730807756,-96.3728975195,85.4109358984,"(0.0, 0.6764010190963745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:00:07.546962,11377,0,0,,0,0,30.6730807747,-96.3728975208,85.408768563,"(0.0, 0.6773782968521118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
