time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2019/02/01/15:55:51.104306,7428,0,0,,0,0,30.6243840136,-96.336429896,71.6246893296,"(0.0, 0.7561721205711365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.124248,7429,0,0,,0,0,30.6243840125,-96.336429894,71.6271735386,"(0.0, 0.7570281028747559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.144221,7430,0,0,,0,0,30.6243839953,-96.3364298571,71.6202514552,"(0.0, 0.7504751682281494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.164240,7431,0,0,,0,0,30.6243839945,-96.3364298553,71.6227259995,"(0.0, 0.7513033151626587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.184508,7432,0,0,,0,0,30.6243839922,-96.3364298539,71.6251632685,"(0.0, 0.7521361112594604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.204340,7433,0,0,,0,0,30.6243839913,-96.3364298523,71.6276987227,"(0.0, 0.7529734373092651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.224267,7434,0,0,,0,0,30.6243839901,-96.3364298509,71.6302010045,"(0.0, 0.7538153529167175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.244038,7435,0,0,,0,0,30.6243839884,-96.3364298488,71.6327026849,"(0.0, 0.7546619176864624, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.264124,7436,0,0,,0,0,30.6243839874,-96.3364298478,71.6351672068,"(0.0, 0.7555132508277893, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.284071,7437,0,0,,0,0,30.6243839856,-96.3364298457,71.637688959,"(0.0, 0.7563692331314087, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.304138,7438,0,0,,0,0,30.624383985,-96.3364298438,71.6402474362,"(0.0, 0.7572299242019653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.323947,7439,0,0,,0,0,30.6243839831,-96.3364298417,71.6427658016,"(0.0, 0.7580954432487488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.343917,7440,0,0,,0,0,30.6243839507,-96.3364297545,71.6290248328,"(0.0, 0.7504144310951233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.363920,7441,0,0,,0,0,30.6243839495,-96.3364297523,71.6314719424,"(0.0, 0.7512390613555908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.383983,7442,0,0,,0,0,30.6243839475,-96.3364297498,71.633998383,"(0.0, 0.7520682215690613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.403926,7443,0,0,,0,0,30.6243839462,-96.3364297474,71.6364509073,"(0.0, 0.7529018521308899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.423855,7444,0,0,,0,0,30.6243839443,-96.3364297449,71.6389685544,"(0.0, 0.753740131855011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.443822,7445,0,0,,0,0,30.6243839427,-96.3364297427,71.6414368447,"(0.0, 0.7545830011367798, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.463832,7446,0,0,,0,0,30.6243839408,-96.3364297404,71.6439250909,"(0.0, 0.7554304599761963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.483828,7447,0,0,,0,0,30.6243839389,-96.3364297377,71.6463675122,"(0.0, 0.75628262758255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.503854,7448,0,0,,0,0,30.6243839373,-96.3364297355,71.6489836659,"(0.0, 0.7571395039558411, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.523623,7449,0,0,,0,0,30.6243839353,-96.3364297324,71.6515431027,"(0.0, 0.7580010890960693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.543587,7450,0,0,,0,0,30.6243839177,-96.3364296993,71.6350544666,"(0.0, 0.7514442801475525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.563858,7451,0,0,,0,0,30.6243839162,-96.3364296964,71.6374943285,"(0.0, 0.7522786855697632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.583748,7452,0,0,,0,0,30.6243839145,-96.3364296937,71.6399174521,"(0.0, 0.753117561340332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.603729,7453,0,0,,0,0,30.6243839129,-96.3364296907,71.6423899744,"(0.0, 0.7539610862731934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.623518,7454,0,0,,0,0,30.6243839117,-96.3364296879,71.6448711287,"(0.0, 0.7548092007637024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.643552,7455,0,0,,0,0,30.6243839103,-96.3364296853,71.6473813126,"(0.0, 0.7556621432304382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.663400,7456,0,0,,0,0,30.6243839088,-96.3364296832,71.6498423968,"(0.0, 0.7565197348594666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.683849,7457,0,0,,0,0,30.6243839072,-96.3364296798,71.6523876529,"(0.0, 0.7573820352554321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.704388,7458,0,0,,0,0,30.6243839054,-96.3364296765,71.6548691136,"(0.0, 0.7582491636276245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.724626,7459,0,0,,0,0,30.6243839038,-96.3364296744,71.6574292823,"(0.0, 0.7591210603713989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.744328,7460,0,0,,0,0,30.6243839021,-96.3364296714,71.6599420446,"(0.0, 0.7599977850914001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.764410,7461,0,0,,0,0,30.6243839717,-96.3364296159,71.6331229666,"(0.0, 0.7513206601142883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.785300,7462,0,0,,0,0,30.6243839715,-96.3364296133,71.6355336802,"(0.0, 0.752145528793335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.804398,7463,0,0,,0,0,30.6243839704,-96.3364296105,71.6379130239,"(0.0, 0.7529749274253845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.825077,7464,0,0,,0,0,30.6243839705,-96.3364296075,71.6403848045,"(0.0, 0.7538089156150818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.844249,7465,0,0,,0,0,30.6243839692,-96.3364296049,71.6428303123,"(0.0, 0.7546473741531372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.864347,7466,0,0,,0,0,30.6243839691,-96.3364296024,71.6452195642,"(0.0, 0.7554904222488403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.884183,7467,0,0,,0,0,30.6243839678,-96.3364295995,71.647726915,"(0.0, 0.7563380599021912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.904191,7468,0,0,,0,0,30.6243839672,-96.336429596,71.6502095509,"(0.0, 0.7571904063224792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.924172,7469,0,0,,0,0,30.6243839663,-96.3364295935,71.6527115133,"(0.0, 0.758047342300415, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.944046,7470,0,0,,0,0,30.6243839656,-96.3364295913,71.6551683877,"(0.0, 0.7589089870452881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.963957,7471,0,0,,0,0,30.6243839648,-96.3364295878,71.6577059773,"(0.0, 0.7597754597663879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:51.984033,7472,0,0,,0,0,30.6243839634,-96.3364295849,71.6602037061,"(0.0, 0.7606467008590698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.003978,7473,0,0,,0,0,30.6243839532,-96.3364294596,71.6342961611,"(0.0, 0.7536404728889465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.024019,7474,0,0,,0,0,30.6243839523,-96.3364294561,71.6366824449,"(0.0, 0.7544803023338318, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.043915,7475,0,0,,0,0,30.624383952,-96.3364294522,71.6391266439,"(0.0, 0.7553247213363647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.063813,7476,0,0,,0,0,30.624383951,-96.3364294485,71.6415536797,"(0.0, 0.7561737895011902, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.083845,7477,0,0,,0,0,30.6243839499,-96.3364294444,71.6439414799,"(0.0, 0.7570275068283081, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
