time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2020/02/28/11:32:47.615121,23989,0,0,,0,0,30.672420485,-96.3725153037,88.4090237049,"(0.0, 0.7371655702590942, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.634121,23990,0,0,,0,0,30.6724204863,-96.3725153021,88.4069084026,"(0.0, 0.7380427718162537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.654272,23991,0,0,,0,0,30.6724204873,-96.3725153009,88.4048201971,"(0.0, 0.7389243245124817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.674078,23992,0,0,,0,0,30.6724204877,-96.3725153003,88.4027252533,"(0.0, 0.7398101091384888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.694161,23993,0,0,,0,0,30.6724204891,-96.3725152983,88.400642777,"(0.0, 0.7407001852989197, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.714180,23994,0,0,,0,0,30.6724204895,-96.3725152975,88.3985735247,"(0.0, 0.7415947318077087, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.734132,23995,0,0,,0,0,30.6724204835,-96.3725153971,88.4100332353,"(0.0, 0.7355402708053589, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.754108,23996,0,0,,0,0,30.6724204849,-96.3725153966,88.407932742,"(0.0, 0.7364129424095154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.774031,23997,0,0,,0,0,30.6724204855,-96.3725153959,88.4057841887,"(0.0, 0.7372897267341614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.794061,23998,0,0,,0,0,30.6724204866,-96.3725153947,88.4037562876,"(0.0, 0.738170862197876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.814109,23999,0,0,,0,0,30.6724204876,-96.3725153937,88.4014984016,"(0.0, 0.7390562295913696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.834099,24000,0,0,,0,0,30.6724204897,-96.372515393,88.3993654293,"(0.0, 0.7399460673332214, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.854029,24001,0,0,,0,0,30.6724204907,-96.3725153914,88.3972107209,"(0.0, 0.7408401966094971, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.874070,24002,0,0,,0,0,30.6724204916,-96.372515391,88.3949712517,"(0.0, 0.7417386770248413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.893993,24003,0,0,,0,0,30.6724204924,-96.3725153899,88.3928288664,"(0.0, 0.7426416873931885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.913994,24004,0,0,,0,0,30.6724204939,-96.3725153895,88.3906727085,"(0.0, 0.743549108505249, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.934014,24005,0,0,,0,0,30.6724204678,-96.372515489,88.4082045688,"(0.0, 0.7368478178977966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.954123,24006,0,0,,0,0,30.6724204693,-96.3725154888,88.4059891572,"(0.0, 0.7377262711524963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.974043,24007,0,0,,0,0,30.6724204699,-96.3725154881,88.4039033294,"(0.0, 0.7386090159416199, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:47.994185,24008,0,0,,0,0,30.6724204714,-96.3725154875,88.4016124754,"(0.0, 0.7394961714744568, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:48.014288,24009,0,0,,0,0,30.6724204724,-96.3725154869,88.3994645862,"(0.0, 0.7403876185417175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:48.033988,24010,0,0,,0,0,30.6724204739,-96.3725154862,88.3973237774,"(0.0, 0.7412834763526917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:48.053999,24011,0,0,,0,0,30.6724204756,-96.3725154855,88.3950418537,"(0.0, 0.7421836256980896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:48.074008,24012,0,0,,0,0,30.6724204772,-96.372515485,88.3928288883,"(0.0, 0.7430882453918457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:48.094097,24013,0,0,,0,0,30.6724204791,-96.3725154842,88.3906153838,"(0.0, 0.7439972758293152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:48.114020,24014,0,0,,0,0,30.6724204805,-96.372515483,88.3883842257,"(0.0, 0.744910717010498, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2020/02/28/11:32:48.133938,24015,0,0,,0,0,30.6724204819,-96.3725154818,88.3862104351,"(0.0, 0.7458288073539734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
