time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.enabled,.override_active,.command_output_fault,.input_output_fault,.output_reported_fault,.pacmod_fault,.vehicle_fault,.manual_input,.command,.output
2020/02/28/11:11:04.043145,28533,1582909864,43056516,pacmod,False,False,False,False,False,False,False,-0.063,0.0,-0.063
2020/02/28/11:11:04.075729,28534,1582909864,75617679,pacmod,False,False,False,False,False,False,False,-0.063,0.0,-0.063
2020/02/28/11:11:04.110063,28535,1582909864,109898915,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.144158,28536,1582909864,143954290,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.176106,28537,1582909864,176041163,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.209187,28538,1582909864,209100790,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.242752,28539,1582909864,242634654,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.275914,28540,1582909864,275840081,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.309110,28541,1582909864,309041654,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.343019,28542,1582909864,342961680,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.376692,28543,1582909864,376595283,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.408620,28544,1582909864,408533757,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.443480,28545,1582909864,443400518,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.476226,28546,1582909864,476151244,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.508518,28547,1582909864,508455170,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.542039,28548,1582909864,541963466,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.575432,28549,1582909864,575332399,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.609058,28550,1582909864,608964880,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.642314,28551,1582909864,642233469,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.676422,28552,1582909864,676333997,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.709438,28553,1582909864,709388838,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.742478,28554,1582909864,742401084,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.776842,28555,1582909864,776741582,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.809797,28556,1582909864,809701953,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.843668,28557,1582909864,843571671,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.876165,28558,1582909864,876109393,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.910134,28559,1582909864,910059360,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.942537,28560,1582909864,942437716,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:04.976688,28561,1582909864,976560697,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:05.009472,28562,1582909865,9376574,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:05.043144,28563,1582909865,43088597,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:05.076715,28564,1582909865,76651342,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:05.109616,28565,1582909865,109552682,pacmod,False,False,False,False,False,False,False,-0.064,0.0,-0.064
2020/02/28/11:11:05.143144,28566,1582909865,143094015,pacmod,False,False,False,False,False,False,False,-0.065,0.0,-0.065
2020/02/28/11:11:05.176515,28567,1582909865,176428719,pacmod,False,False,False,False,False,False,False,-0.065,0.0,-0.065
2020/02/28/11:11:05.210561,28568,1582909865,210495578,pacmod,False,False,False,False,False,False,False,-0.065,0.0,-0.065
2020/02/28/11:11:05.244960,28569,1582909865,244879909,pacmod,False,False,False,False,False,False,False,-0.065,0.0,-0.065
2020/02/28/11:11:05.277856,28570,1582909865,277797117,pacmod,False,False,False,False,False,False,False,-0.066,0.0,-0.066
2020/02/28/11:11:05.310305,28571,1582909865,310186201,pacmod,False,False,False,False,False,False,False,-0.07,0.0,-0.07
2020/02/28/11:11:05.344307,28572,1582909865,344215715,pacmod,False,False,False,False,False,False,False,-0.078,0.0,-0.078
2020/02/28/11:11:05.377034,28573,1582909865,376971208,pacmod,False,False,False,False,False,False,False,-0.082,0.0,-0.082
2020/02/28/11:11:05.410718,28574,1582909865,410652933,pacmod,False,False,False,False,False,False,False,-0.084,0.0,-0.084
2020/02/28/11:11:05.443481,28575,1582909865,443400653,pacmod,False,False,False,False,False,False,False,-0.089,0.0,-0.089
2020/02/28/11:11:05.477081,28576,1582909865,476972686,pacmod,False,False,False,False,False,False,False,-0.101,0.0,-0.101
2020/02/28/11:11:05.510789,28577,1582909865,510703935,pacmod,False,False,False,False,False,False,False,-0.113,0.0,-0.113
2020/02/28/11:11:05.544052,28578,1582909865,543988106,pacmod,False,False,False,False,False,False,False,-0.134,0.0,-0.134
2020/02/28/11:11:05.577720,28579,1582909865,577648584,pacmod,False,False,False,False,False,False,False,-0.159,0.0,-0.159
2020/02/28/11:11:05.610248,28580,1582909865,610181039,pacmod,False,False,False,False,False,False,False,-0.177,0.0,-0.177
2020/02/28/11:11:05.643342,28581,1582909865,643259704,pacmod,False,False,False,False,False,False,False,-0.2,0.0,-0.2
2020/02/28/11:11:05.677085,28582,1582909865,677007014,pacmod,False,False,False,False,False,False,False,-0.216,0.0,-0.216
