time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Time,.Week,.Status,.RPY.x,.RPY.y,.RPY.z,.LLA.x,.LLA.y,.LLA.z,.NedVel.x,.NedVel.y,.NedVel.z,.YawUncertainty,.PitchUncertainty,.RollUncertainty,.PosUncertainty,.VelUncertainty,.SyncInTime,.SyncInCount
2020/02/28/11:32:47.614988,23995,1582911167,613976081,vectornav,1266946385.6,2094,33542,2.05727243423,-0.739279270172,5.66365385056,30.672420485,-96.3725153037,88.4090237049,0.00463683530688,0.0075608221814,0.104551039636,0.309177994728,0.0673053711653,0.0672811716795,0.737165570259,0.0952151045203,1582908092.54,0
2020/02/28/11:32:47.634053,23996,1582911167,633988794,vectornav,1266946385.62,2094,33542,2.05843424797,-0.738238692284,5.66360282898,30.6724204863,-96.3725153021,88.4069084026,0.00471104681492,0.00727386865765,0.104586139321,0.309263348579,0.0673885867,0.0673644840717,0.738042771816,0.0955090895295,1582908092.54,0
2020/02/28/11:32:47.654116,23997,1582911167,654020528,vectornav,1266946385.64,2094,774,2.05892539024,-0.737751960754,5.66315412521,30.6724204873,-96.3725153009,88.4048201971,0.00451741367579,0.00717823207378,0.104963168502,0.309348762035,0.0674717798829,0.067447707057,0.738924324512,0.0958033055067,1582908092.54,0
2020/02/28/11:32:47.673999,23998,1582911167,673934600,vectornav,1266946385.66,2094,774,2.05920982361,-0.737454414368,5.66372203827,30.6724204877,-96.3725153003,88.4027252533,0.00436210259795,0.0070450110361,0.105372399092,0.309434205294,0.0675549507141,0.0675309300423,0.739810109138,0.0960975140333,1582908092.54,0
2020/02/28/11:32:47.694077,23999,1582911167,694012751,vectornav,1266946385.68,2094,33542,2.05915474892,-0.737928926945,5.66362380981,30.6724204891,-96.3725152983,88.400642777,0.00460994616151,0.00696173962206,0.105695605278,0.309519678354,0.0676381140947,0.0676141753793,0.740700185299,0.0963920205832,1582908092.54,0
2020/02/28/11:32:47.714119,24000,1582911167,713984949,vectornav,1266946385.7,2094,33542,2.05901217461,-0.738590359688,5.66305494308,30.6724204895,-96.3725152975,88.3985735247,0.00473500415683,0.00664409901947,0.106198042631,0.309605181217,0.0677212774754,0.0676973462105,0.741594731808,0.0966865494847,1582908092.54,0
2020/02/28/11:32:47.734057,24001,1582911167,733972215,vectornav,1266946385.72,2094,33542,2.05857610703,-0.738724529743,5.66329288483,30.6724204835,-96.3725153971,88.4100332353,0.00580772012472,0.00374906975776,0.105614319444,0.309690564871,0.0672528520226,0.0672285705805,0.735540270805,0.0949816927314,1582908092.54,0
2020/02/28/11:32:47.754011,24002,1582911167,753922827,vectornav,1266946385.74,2094,8966,2.05665326118,-0.738389492035,5.6635093689,30.6724204849,-96.3725153966,88.407932742,0.0059029944241,0.00371004361659,0.106495305896,0.309776037931,0.0673360899091,0.0673118531704,0.73641294241,0.0952750742435,1582908092.54,0
2020/02/28/11:32:47.773986,24003,1582911167,773887423,vectornav,1266946385.76,2094,8966,2.05612277985,-0.738442003727,5.66346168518,30.6724204855,-96.3725153959,88.4057841887,0.00615112483501,0.00402912963182,0.106856435537,0.309167742729,0.0674192905426,0.0673950091004,0.737289726734,0.0955687761307,1582908092.54,0
2020/02/28/11:32:47.794002,24004,1582911167,793917617,vectornav,1266946385.78,2094,8966,2.05556750298,-0.73740708828,5.66270017624,30.6724204866,-96.3725153947,88.4037562876,0.00645630434155,0.00407302379608,0.107494987547,0.309253156185,0.0675024986267,0.0674782469869,0.738170862198,0.0958627611399,1582908092.54,0
2020/02/28/11:32:47.813978,24005,1582911167,813919920,vectornav,1266946385.8,2094,37638,2.05414581299,-0.736908078194,5.66222524643,30.6724204876,-96.3725153937,88.4014984016,0.00660429894924,0.00409236550331,0.107851296663,0.309338569641,0.0675856471062,0.0675614774227,0.739056229591,0.096157245338,1582908092.54,0
2020/02/28/11:32:47.834002,24006,1582911167,833916107,vectornav,1266946385.82,2094,37638,2.05428910255,-0.736291408539,5.66283798218,30.6724204897,-96.372515393,88.3993654293,0.00675066187978,0.00424837134778,0.108195856214,0.309423953295,0.0676687881351,0.0676446631551,0.739946067333,0.0964518710971,1582908092.54,0
2020/02/28/11:32:47.853965,24007,1582911167,853888382,vectornav,1266946385.84,2094,774,2.05365824699,-0.736433506012,5.66353464127,30.6724204907,-96.3725153914,88.3972107209,0.00676732510328,0.0044463807717,0.10883268714,0.309509396553,0.0677519142628,0.0677278414369,0.740840196609,0.0967466309667,1582908092.54,0
2020/02/28/11:32:47.873975,24008,1582911167,873908175,vectornav,1266946385.86,2094,774,2.05285859108,-0.737007141113,5.66305017471,30.6724204916,-96.372515391,88.3949712517,0.00709049776196,0.00461110752076,0.109297633171,0.309594869614,0.0678350403905,0.0678110048175,0.741738677025,0.0970415621996,1582908092.54,0
2020/02/28/11:32:47.893928,24009,1582911167,893857543,vectornav,1266946385.88,2094,774,2.05237102509,-0.737128138542,5.66303062439,30.6724204924,-96.3725153899,88.3928288664,0.00731116905808,0.00490387063473,0.109585635364,0.309680342674,0.0679181069136,0.0678941383958,0.742641687393,0.0973369404674,1582908092.54,0
2020/02/28/11:32:47.913913,24010,1582911167,913839760,vectornav,1266946385.9,2094,33542,2.05280470848,-0.737020134926,5.66323184967,30.6724204939,-96.3725153895,88.3906727085,0.00713048130274,0.00525419414043,0.109844468534,0.30976587534,0.0680011957884,0.0679772645235,0.743549108505,0.0976326614618,1582908092.54,0
