time,.data
2020/02/28/11:32:47.662214,0.0
2020/02/28/11:32:47.694854,0.0
2020/02/28/11:32:47.728665,0.0
2020/02/28/11:32:47.762526,0.0
2020/02/28/11:32:47.795208,0.0
2020/02/28/11:32:47.828974,0.0
2020/02/28/11:32:47.861667,0.0
2020/02/28/11:32:47.895800,0.0
2020/02/28/11:32:47.928783,0.0
2020/02/28/11:32:47.962898,0.0
2020/02/28/11:32:47.996234,0.0
2020/02/28/11:32:48.028813,0.0
2020/02/28/11:32:48.063015,0.0
2020/02/28/11:32:48.095719,0.0
2020/02/28/11:32:48.129561,0.0
2020/02/28/11:32:48.162565,0.0
2020/02/28/11:32:48.196372,0.0
2020/02/28/11:32:48.228747,0.0
2020/02/28/11:32:48.262585,0.0
2020/02/28/11:32:48.295480,0.0
2020/02/28/11:32:48.329790,0.0
2020/02/28/11:32:48.362231,0.0
2020/02/28/11:32:48.396234,0.0
2020/02/28/11:32:48.429241,0.0
2020/02/28/11:32:48.462822,0.0
2020/02/28/11:32:48.496312,0.0
2020/02/28/11:32:48.529450,0.0
2020/02/28/11:32:48.562541,0.0
2020/02/28/11:32:48.595913,0.0
2020/02/28/11:32:48.629636,0.0
2020/02/28/11:32:48.662820,0.0
2020/02/28/11:32:48.696823,0.0
2020/02/28/11:32:48.729971,0.0
2020/02/28/11:32:48.762780,0.0
2020/02/28/11:32:48.796319,0.0
2020/02/28/11:32:48.830127,0.0
2020/02/28/11:32:48.864088,0.0
2020/02/28/11:32:48.896565,0.0
2020/02/28/11:32:48.930348,0.0
2020/02/28/11:32:48.963217,0.0
2020/02/28/11:32:48.997214,0.0
2020/02/28/11:32:49.030287,0.0
2020/02/28/11:32:49.062961,0.0
2020/02/28/11:32:49.096847,0.0
2020/02/28/11:32:49.129732,0.0
2020/02/28/11:32:49.163190,0.0
2020/02/28/11:32:49.196439,0.0
2020/02/28/11:32:49.230325,0.0
2020/02/28/11:32:49.263943,0.0
2020/02/28/11:32:49.297095,0.0
2020/02/28/11:32:49.330157,0.0
2020/02/28/11:32:49.363625,0.0
2020/02/28/11:32:49.397461,0.0
2020/02/28/11:32:49.430267,0.0
2020/02/28/11:32:49.464232,0.0
2020/02/28/11:32:49.498355,0.0
2020/02/28/11:32:49.530808,0.0
2020/02/28/11:32:49.563667,0.0
2020/02/28/11:32:49.598102,0.0
2020/02/28/11:32:49.630536,0.0
2020/02/28/11:32:49.664488,0.0
2020/02/28/11:32:49.697371,0.0
2020/02/28/11:32:49.731061,0.0
2020/02/28/11:32:49.764130,0.0
2020/02/28/11:32:49.797747,0.0
2020/02/28/11:32:49.831716,0.0
2020/02/28/11:32:49.864552,0.0
2020/02/28/11:32:49.898153,0.0
2020/02/28/11:32:49.931909,0.0
2020/02/28/11:32:49.964770,0.0
2020/02/28/11:32:49.997939,0.0
2020/02/28/11:32:50.031206,0.0
2020/02/28/11:32:50.065697,0.0
2020/02/28/11:32:50.098501,0.0
2020/02/28/11:32:50.132189,0.0
2020/02/28/11:32:50.165168,0.0
2020/02/28/11:32:50.199303,0.0
2020/02/28/11:32:50.232228,0.0
2020/02/28/11:32:50.266017,0.0268224
2020/02/28/11:32:50.299150,0.0491744
2020/02/28/11:32:50.332683,0.0849376
2020/02/28/11:32:50.365973,0.1028192
2020/02/28/11:32:50.398968,0.0759968
2020/02/28/11:32:50.431961,0.022352
2020/02/28/11:32:50.466262,0.0536448
2020/02/28/11:32:50.499753,0.0357632
2020/02/28/11:32:50.532507,0.0536448
2020/02/28/11:32:50.566873,0.0759968
2020/02/28/11:32:50.599447,0.0625856
2020/02/28/11:32:50.633337,0.0178816
2020/02/28/11:32:50.666453,0.0089408
2020/02/28/11:32:50.700544,0.0089408
2020/02/28/11:32:50.733393,0.0715264
2020/02/28/11:32:50.767487,0.0625856
2020/02/28/11:32:50.801024,0.0491744
2020/02/28/11:32:50.834191,0.0268224
2020/02/28/11:32:50.866911,0.044704
2020/02/28/11:32:50.900341,0.0715264
2020/02/28/11:32:50.933985,0.089408
2020/02/28/11:32:50.967488,0.0715264
2020/02/28/11:32:51.000298,0.0625856
2020/02/28/11:32:51.034136,0.067056
2020/02/28/11:32:51.068160,0.0938784
2020/02/28/11:32:51.101704,0.1072896
2020/02/28/11:32:51.134064,0.1028192
2020/02/28/11:32:51.167760,0.089408
2020/02/28/11:32:51.200607,0.089408
2020/02/28/11:32:51.234082,0.1162304
2020/02/28/11:32:51.268040,0.134112
2020/02/28/11:32:51.300718,0.134112
2020/02/28/11:32:51.334485,0.1207008
2020/02/28/11:32:51.368282,0.1251712
2020/02/28/11:32:51.401612,0.1385824
2020/02/28/11:32:51.434188,0.1609344
2020/02/28/11:32:51.467314,0.1654048
2020/02/28/11:32:51.501270,0.1654048
2020/02/28/11:32:51.534820,0.1654048
2020/02/28/11:32:51.568780,0.178816
2020/02/28/11:32:51.601460,0.1877568
2020/02/28/11:32:51.635017,0.201168
2020/02/28/11:32:51.668057,0.201168
2020/02/28/11:32:51.701964,0.2056384
2020/02/28/11:32:51.735044,0.2145792
2020/02/28/11:32:51.768767,0.2324608
2020/02/28/11:32:51.801446,0.2414016
2020/02/28/11:32:51.835442,0.2548128
2020/02/28/11:32:51.868047,0.268224
2020/02/28/11:32:51.901274,0.2726944
2020/02/28/11:32:51.935998,0.2726944
2020/02/28/11:32:51.969184,0.2816352
2020/02/28/11:32:52.002660,0.2861056
2020/02/28/11:32:52.035677,0.3084576
2020/02/28/11:32:52.068990,0.3263392
2020/02/28/11:32:52.101977,0.3308096
2020/02/28/11:32:52.135453,0.3308096
2020/02/28/11:32:52.169131,0.3486912
2020/02/28/11:32:52.202027,0.357632
2020/02/28/11:32:52.235971,0.379984
2020/02/28/11:32:52.268764,0.3933952
2020/02/28/11:32:52.302329,0.3933952
2020/02/28/11:32:52.335223,0.4112768
2020/02/28/11:32:52.369308,0.4291584
2020/02/28/11:32:52.401929,0.4336288
2020/02/28/11:32:52.435726,0.44704
2020/02/28/11:32:52.468992,0.4649216
2020/02/28/11:32:52.502620,0.469392
2020/02/28/11:32:52.536403,0.4872736
2020/02/28/11:32:52.569687,0.5006848
2020/02/28/11:32:52.602763,0.5096256
2020/02/28/11:32:52.637014,0.5185664
2020/02/28/11:32:52.669360,0.536448
2020/02/28/11:32:52.703158,0.5409184
2020/02/28/11:32:52.736566,0.5588
2020/02/28/11:32:52.769068,0.5766816
2020/02/28/11:32:52.802973,0.5856224
2020/02/28/11:32:52.836647,0.5945632
2020/02/28/11:32:52.869538,0.6079744
2020/02/28/11:32:52.902347,0.6169152
2020/02/28/11:32:52.935970,0.6303264
2020/02/28/11:32:52.969784,0.6392672
2020/02/28/11:32:53.002918,0.6526784
2020/02/28/11:32:53.037206,0.6616192
2020/02/28/11:32:53.070129,0.6750304
2020/02/28/11:32:53.103307,0.6839712
2020/02/28/11:32:53.137587,0.692912
2020/02/28/11:32:53.170825,0.715264
2020/02/28/11:32:53.203562,0.7286752
2020/02/28/11:32:53.237367,0.7420864
2020/02/28/11:32:53.271353,0.759968
2020/02/28/11:32:53.303943,0.7689088
2020/02/28/11:32:53.337812,0.7733792
2020/02/28/11:32:53.370712,0.78232
2020/02/28/11:32:53.404410,0.7867904
2020/02/28/11:32:53.437126,0.8091424
2020/02/28/11:32:53.471289,0.8314944
2020/02/28/11:32:53.505157,0.8359648
2020/02/28/11:32:53.537291,0.8404352
2020/02/28/11:32:53.570892,0.849376
2020/02/28/11:32:53.604674,0.8583168
2020/02/28/11:32:53.637424,0.8896096
2020/02/28/11:32:53.671427,0.9119616
2020/02/28/11:32:53.704107,0.9209024
2020/02/28/11:32:53.737593,0.916432
2020/02/28/11:32:53.771256,0.9209024
2020/02/28/11:32:53.805070,0.9209024
2020/02/28/11:32:53.838383,0.9343136
2020/02/28/11:32:53.870899,0.961136
2020/02/28/11:32:53.905222,0.9745472
2020/02/28/11:32:53.937941,0.9924288
2020/02/28/11:32:53.971416,0.983488
2020/02/28/11:32:54.004909,0.9745472
2020/02/28/11:32:54.038098,0.9700768
2020/02/28/11:32:54.071329,0.9968992
2020/02/28/11:32:54.105531,1.0147808
2020/02/28/11:32:54.139625,1.0460736
2020/02/28/11:32:54.172948,1.0192512
2020/02/28/11:32:54.205342,1.00584
2020/02/28/11:32:54.238312,1.028192
2020/02/28/11:32:54.272231,1.0773664
2020/02/28/11:32:54.305583,1.0907776
2020/02/28/11:32:54.338099,1.0773664
2020/02/28/11:32:54.372126,1.0416032
2020/02/28/11:32:54.404774,1.0416032
2020/02/28/11:32:54.438701,1.0684256
2020/02/28/11:32:54.471656,1.1086592
2020/02/28/11:32:54.505778,1.1176
2020/02/28/11:32:54.538741,1.1176
2020/02/28/11:32:54.572051,1.0997184
2020/02/28/11:32:54.605267,1.0907776
2020/02/28/11:32:54.638480,1.1041888
2020/02/28/11:32:54.672305,1.1176
2020/02/28/11:32:54.704988,1.1265408
2020/02/28/11:32:54.738786,1.1265408
2020/02/28/11:32:54.772618,1.1310112
2020/02/28/11:32:54.805899,1.139952
2020/02/28/11:32:54.838922,1.139952
2020/02/28/11:32:54.872326,1.1444224
2020/02/28/11:32:54.905965,1.1354816
2020/02/28/11:32:54.940009,1.1354816
2020/02/28/11:32:54.973856,1.139952
2020/02/28/11:32:55.006381,1.1488928
2020/02/28/11:32:55.039931,1.1533632
2020/02/28/11:32:55.074427,1.1578336
2020/02/28/11:32:55.107483,1.1578336
2020/02/28/11:32:55.140222,1.162304
2020/02/28/11:32:55.173700,1.1578336
2020/02/28/11:32:55.207487,1.1354816
2020/02/28/11:32:55.240651,1.1444224
2020/02/28/11:32:55.274246,1.1712448
2020/02/28/11:32:55.307154,1.1801856
2020/02/28/11:32:55.340916,1.1801856
2020/02/28/11:32:55.374785,1.1444224
2020/02/28/11:32:55.407890,1.1354816
2020/02/28/11:32:55.441619,1.1444224
2020/02/28/11:32:55.474119,1.1801856
2020/02/28/11:32:55.507979,1.184656
2020/02/28/11:32:55.540812,1.1801856
2020/02/28/11:32:55.573948,1.1578336
2020/02/28/11:32:55.607943,1.1667744
2020/02/28/11:32:55.641530,1.1757152
2020/02/28/11:32:55.675119,1.1935968
2020/02/28/11:32:55.708425,1.1757152
2020/02/28/11:32:55.742528,1.162304
2020/02/28/11:32:55.774328,1.1444224
2020/02/28/11:32:55.807912,1.162304
2020/02/28/11:32:55.841027,1.1667744
2020/02/28/11:32:55.875942,1.1757152
2020/02/28/11:32:55.907820,1.1667744
2020/02/28/11:32:55.941072,1.1667744
2020/02/28/11:32:55.975317,1.1667744
2020/02/28/11:32:56.007939,1.1667744
2020/02/28/11:32:56.041222,1.162304
2020/02/28/11:32:56.075199,1.1533632
2020/02/28/11:32:56.107805,1.1488928
2020/02/28/11:32:56.141944,1.1444224
2020/02/28/11:32:56.174877,1.1667744
