time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Time,.UtcTime.year,.UtcTime.month,.UtcTime.day,.UtcTime.hour,.UtcTime.minute,.UtcTime.second,.UtcTime.millisecond,.Week,.GpsFix,.NumSats,.LLA.x,.LLA.y,.LLA.z,.NedVel.x,.NedVel.y,.NedVel.z,.NedAcc.x,.NedAcc.y,.NedAcc.z,.SpeedAcc,.TimeAcc
2020/02/28/11:00:07.306825,11373,1582909207,306742488,vectornav,493224.999652,20,2,28,17,0,7,0,2094,3,16,30.6730848,-96.3728908,86.228,-0.00700000021607,0.00700000021607,-0.0179999992251,1.74139714241,1.92312204838,5.88696575165,0.198400005698,2.99999980413e-09
2020/02/28/11:00:07.325782,11374,1582909207,325711543,vectornav,493224.999652,20,2,28,17,0,7,0,2094,3,16,30.6730848,-96.3728908,86.228,-0.00700000021607,0.00700000021607,-0.0179999992251,1.74139714241,1.92312204838,5.88696575165,0.198400005698,2.99999980413e-09
2020/02/28/11:00:07.346842,11375,1582909207,346735933,vectornav,493224.999652,20,2,28,17,0,7,0,2094,3,16,30.6730848,-96.3728908,86.228,-0.00700000021607,0.00700000021607,-0.0179999992251,1.74139714241,1.92312204838,5.88696575165,0.198400005698,2.99999980413e-09
2020/02/28/11:00:07.366774,11376,1582909207,366701118,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.386846,11377,1582909207,386728666,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.406845,11378,1582909207,406724228,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.426779,11379,1582909207,426682108,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.446788,11380,1582909207,446678371,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.466816,11381,1582909207,466700380,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.486915,11382,1582909207,486756844,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.506751,11383,1582909207,506654966,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.526767,11384,1582909207,526701112,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.546823,11385,1582909207,546705635,vectornav,493225.199652,20,2,28,17,0,7,199,2094,3,16,30.6730848,-96.3728907,86.28,-0.0130000002682,-0.019999999553,-0.0230000000447,1.74598050117,1.92432785034,5.89408969879,0.161600008607,2.99999980413e-09
2020/02/28/11:00:07.566736,11386,1582909207,566663525,vectornav,493225.399652,20,2,28,17,0,7,399,2094,3,16,30.6730849,-96.3728908,86.334,-0.0219999998808,0.0010000000475,-0.0949999988079,1.75101399422,1.92566120625,5.90153551102,0.200800016522,2.99999980413e-09
2020/02/28/11:00:07.586799,11387,1582909207,586668076,vectornav,493225.399652,20,2,28,17,0,7,399,2094,3,16,30.6730849,-96.3728908,86.334,-0.0219999998808,0.0010000000475,-0.0949999988079,1.75101399422,1.92566120625,5.90153551102,0.200800016522,2.99999980413e-09
2020/02/28/11:00:07.606790,11388,1582909207,606679783,vectornav,493225.399652,20,2,28,17,0,7,399,2094,3,16,30.6730849,-96.3728908,86.334,-0.0219999998808,0.0010000000475,-0.0949999988079,1.75101399422,1.92566120625,5.90153551102,0.200800016522,2.99999980413e-09
2020/02/28/11:00:07.626718,11389,1582909207,626625864,vectornav,493225.399652,20,2,28,17,0,7,399,2094,3,16,30.6730849,-96.3728908,86.334,-0.0219999998808,0.0010000000475,-0.0949999988079,1.75101399422,1.92566120625,5.90153551102,0.200800016522,2.99999980413e-09
2020/02/28/11:00:07.646785,11390,1582909207,646677563,vectornav,493225.399652,20,2,28,17,0,7,399,2094,3,16,30.6730849,-96.3728908,86.334,-0.0219999998808,0.0010000000475,-0.0949999988079,1.75101399422,1.92566120625,5.90153551102,0.200800016522,2.99999980413e-09
2020/02/28/11:00:07.666718,11391,1582909207,666639239,vectornav,493225.399652,20,2,28,17,0,7,399,2094,3,16,30.6730849,-96.3728908,86.334,-0.0219999998808,0.0010000000475,-0.0949999988079,1.75101399422,1.92566120625,5.90153551102,0.200800016522,2.99999980413e-09
2020/02/28/11:00:07.686858,11392,1582909207,686681725,vectornav,493225.399652,20,2,28,17,0,7,399,2094,3,16,30.6730849,-96.3728908,86.334,-0.0219999998808,0.0010000000475,-0.0949999988079,1.75101399422,1.92566120625,5.90153551102,0.200800016522,2.99999980413e-09
