time,.data
2019/02/01/15:55:50.481928,0.0044704
2019/02/01/15:55:50.512422,0.0044704
2019/02/01/15:55:50.543132,0.0044704
2019/02/01/15:55:50.583530,0.0044704
2019/02/01/15:55:50.613568,0.0044704
2019/02/01/15:55:50.643768,0.0044704
2019/02/01/15:55:50.684873,0.0044704
2019/02/01/15:55:50.714136,0.0044704
2019/02/01/15:55:50.744488,0.0044704
2019/02/01/15:55:50.774598,0.0044704
2019/02/01/15:55:50.815254,0.0044704
2019/02/01/15:55:50.845339,0.0044704
2019/02/01/15:55:50.875428,0.0044704
2019/02/01/15:55:50.916376,0.0044704
2019/02/01/15:55:50.946343,0.0044704
2019/02/01/15:55:50.976726,0.0044704
2019/02/01/15:55:51.017215,0.0044704
2019/02/01/15:55:51.047460,0.0044704
2019/02/01/15:55:51.077456,0.0044704
2019/02/01/15:55:51.118160,0.0044704
2019/02/01/15:55:51.148305,0.0044704
2019/02/01/15:55:51.178542,0.0044704
2019/02/01/15:55:51.219080,0.0044704
2019/02/01/15:55:51.249456,0.0044704
2019/02/01/15:55:51.279333,0.0044704
2019/02/01/15:55:51.309545,0.0044704
2019/02/01/15:55:51.349956,0.0044704
2019/02/01/15:55:51.380764,0.0044704
2019/02/01/15:55:51.410730,0.0044704
2019/02/01/15:55:51.451063,0.0044704
2019/02/01/15:55:51.481141,0.0044704
2019/02/01/15:55:51.511443,0.0044704
2019/02/01/15:55:51.541616,0.0044704
2019/02/01/15:55:51.582205,0.0044704
2019/02/01/15:55:51.612629,0.0044704
2019/02/01/15:55:51.642590,0.0044704
2019/02/01/15:55:51.683734,0.0044704
2019/02/01/15:55:51.713534,0.0044704
2019/02/01/15:55:51.743587,0.0044704
2019/02/01/15:55:51.784981,0.0044704
2019/02/01/15:55:51.814705,0.0044704
2019/02/01/15:55:51.844737,0.0044704
2019/02/01/15:55:51.885323,0.0044704
2019/02/01/15:55:51.915198,0.0044704
2019/02/01/15:55:51.945487,0.0044704
2019/02/01/15:55:51.985932,0.0044704
2019/02/01/15:55:52.016583,0.0044704
2019/02/01/15:55:52.046778,0.0044704
2019/02/01/15:55:52.076960,0.0044704
2019/02/01/15:55:52.117527,0.0044704
2019/02/01/15:55:52.147733,0.0044704
2019/02/01/15:55:52.177933,0.0044704
2019/02/01/15:55:52.218898,0.0044704
2019/02/01/15:55:52.249058,0.0044704
2019/02/01/15:55:52.278823,0.0044704
2019/02/01/15:55:52.319672,0.0044704
2019/02/01/15:55:52.349652,0.0044704
2019/02/01/15:55:52.379979,0.0044704
2019/02/01/15:55:52.420733,0.0044704
2019/02/01/15:55:52.451982,0.0044704
2019/02/01/15:55:52.480967,0.0044704
2019/02/01/15:55:52.521465,0.0357632
2019/02/01/15:55:52.551985,0.0491744
2019/02/01/15:55:52.581648,0.0804672
2019/02/01/15:55:52.611811,0.1207008
2019/02/01/15:55:52.652404,0.1430528
2019/02/01/15:55:52.682524,0.0938784
2019/02/01/15:55:52.712492,0.022352
2019/02/01/15:55:52.753383,0.0491744
2019/02/01/15:55:52.784261,0.0268224
2019/02/01/15:55:52.813529,0.11176
2019/02/01/15:55:52.854222,0.1251712
2019/02/01/15:55:52.884388,0.0715264
2019/02/01/15:55:52.914340,0.0268224
2019/02/01/15:55:52.954870,0.0134112
2019/02/01/15:55:52.985440,0.089408
2019/02/01/15:55:53.015280,0.1385824
2019/02/01/15:55:53.055811,0.1296416
2019/02/01/15:55:53.085975,0.0804672
2019/02/01/15:55:53.116063,0.0759968
2019/02/01/15:55:53.146204,0.1028192
2019/02/01/15:55:53.186801,0.1832864
2019/02/01/15:55:53.216912,0.178816
2019/02/01/15:55:53.247178,0.1519936
2019/02/01/15:55:53.287696,0.1207008
2019/02/01/15:55:53.318023,0.1698752
2019/02/01/15:55:53.348356,0.2101088
2019/02/01/15:55:53.388881,0.2414016
2019/02/01/15:55:53.418873,0.2056384
2019/02/01/15:55:53.449074,0.1877568
2019/02/01/15:55:53.489762,0.201168
2019/02/01/15:55:53.520121,0.2503424
2019/02/01/15:55:53.549986,0.2726944
2019/02/01/15:55:53.580169,0.290576
2019/02/01/15:55:53.620856,0.2771648
2019/02/01/15:55:53.651010,0.2726944
2019/02/01/15:55:53.681174,0.2950464
2019/02/01/15:55:53.721572,0.3218688
2019/02/01/15:55:53.752103,0.3173984
2019/02/01/15:55:53.782186,0.3218688
2019/02/01/15:55:53.823054,0.3486912
2019/02/01/15:55:53.852840,0.357632
2019/02/01/15:55:53.882912,0.3710432
2019/02/01/15:55:53.923515,0.3665728
2019/02/01/15:55:53.954162,0.3665728
2019/02/01/15:55:53.983813,0.3755136
2019/02/01/15:55:54.024269,0.3933952
2019/02/01/15:55:54.054431,0.3978656
2019/02/01/15:55:54.084620,0.402336
2019/02/01/15:55:54.124998,0.4157472
2019/02/01/15:55:54.155427,0.4202176
2019/02/01/15:55:54.186402,0.4112768
2019/02/01/15:55:54.226310,0.4291584
2019/02/01/15:55:54.256315,0.44704
2019/02/01/15:55:54.286607,0.469392
2019/02/01/15:55:54.316861,0.4559808
2019/02/01/15:55:54.357184,0.44704
2019/02/01/15:55:54.387709,0.4425696
2019/02/01/15:55:54.417854,0.469392
2019/02/01/15:55:54.458447,0.4872736
2019/02/01/15:55:54.488594,0.491744
2019/02/01/15:55:54.518736,0.4738624
2019/02/01/15:55:54.559254,0.4559808
2019/02/01/15:55:54.589729,0.4738624
2019/02/01/15:55:54.619662,0.5096256
2019/02/01/15:55:54.660450,0.514096
2019/02/01/15:55:54.690437,0.5051552
2019/02/01/15:55:54.720563,0.469392
2019/02/01/15:55:54.750722,0.4604512
2019/02/01/15:55:54.791796,0.4559808
2019/02/01/15:55:54.821896,0.4783328
2019/02/01/15:55:54.851947,0.5006848
2019/02/01/15:55:54.892627,0.5051552
2019/02/01/15:55:54.923426,0.5185664
2019/02/01/15:55:54.952926,0.5230368
2019/02/01/15:55:54.983227,0.536448
2019/02/01/15:55:55.024000,0.5453888
2019/02/01/15:55:55.053802,0.5543296
2019/02/01/15:55:55.084078,0.5498592
2019/02/01/15:55:55.125083,0.514096
2019/02/01/15:55:55.154595,0.5051552
2019/02/01/15:55:55.184624,0.5096256
2019/02/01/15:55:55.225168,0.5319776
2019/02/01/15:55:55.255805,0.5409184
2019/02/01/15:55:55.285643,0.5409184
2019/02/01/15:55:55.326523,0.5230368
2019/02/01/15:55:55.356510,0.5275072
2019/02/01/15:55:55.387103,0.5319776
2019/02/01/15:55:55.416745,0.5543296
2019/02/01/15:55:55.457419,0.5722112
2019/02/01/15:55:55.487627,0.5632704
2019/02/01/15:55:55.517881,0.5588
2019/02/01/15:55:55.558905,0.5677408
2019/02/01/15:55:55.588784,0.5766816
2019/02/01/15:55:55.618829,0.5990336
2019/02/01/15:55:55.659452,0.603504
2019/02/01/15:55:55.689830,0.603504
2019/02/01/15:55:55.719727,0.6124448
2019/02/01/15:55:55.760456,0.625856
2019/02/01/15:55:55.790741,0.6392672
2019/02/01/15:55:55.820781,0.6616192
2019/02/01/15:55:55.850847,0.6795008
2019/02/01/15:55:55.891621,0.6795008
2019/02/01/15:55:55.921649,0.6750304
2019/02/01/15:55:55.951863,0.7018528
2019/02/01/15:55:55.992642,0.7107936
2019/02/01/15:55:56.024201,0.7331456
2019/02/01/15:55:56.052806,0.7420864
2019/02/01/15:55:56.093546,0.7420864
2019/02/01/15:55:56.123698,0.7689088
2019/02/01/15:55:56.153942,0.7957312
2019/02/01/15:55:56.194465,0.8091424
2019/02/01/15:55:56.224601,0.8180832
2019/02/01/15:55:56.254907,0.827024
2019/02/01/15:55:56.295610,0.8314944
2019/02/01/15:55:56.325425,0.8627872
2019/02/01/15:55:56.355555,0.89408
2019/02/01/15:55:56.396199,0.8985504
2019/02/01/15:55:56.426530,0.9074912
2019/02/01/15:55:56.456700,0.9209024
2019/02/01/15:55:56.497117,0.9253728
2019/02/01/15:55:56.527487,0.9521952
2019/02/01/15:55:56.557635,0.9879584
2019/02/01/15:55:56.587909,0.9879584
2019/02/01/15:55:56.628355,0.9968992
2019/02/01/15:55:56.659422,1.0147808
2019/02/01/15:55:56.688766,1.0192512
2019/02/01/15:55:56.730324,1.0550144
2019/02/01/15:55:56.759393,1.0684256
2019/02/01/15:55:56.789793,1.072896
2019/02/01/15:55:56.830046,1.0863072
2019/02/01/15:55:56.860399,1.1131296
2019/02/01/15:55:56.890565,1.139952
2019/02/01/15:55:56.931172,1.1444224
2019/02/01/15:55:56.961138,1.162304
2019/02/01/15:55:56.991310,1.1757152
2019/02/01/15:55:57.032161,1.1801856
2019/02/01/15:55:57.062233,1.207008
2019/02/01/15:55:57.092352,1.2159488
2019/02/01/15:55:57.132915,1.2248896
2019/02/01/15:55:57.163182,1.2159488
2019/02/01/15:55:57.193268,1.207008
2019/02/01/15:55:57.234312,1.2338304
2019/02/01/15:55:57.264465,1.3098272
2019/02/01/15:55:57.294213,1.3142976
2019/02/01/15:55:57.324269,1.3053568
2019/02/01/15:55:57.364805,1.2651232
2019/02/01/15:55:57.395013,1.296416
2019/02/01/15:55:57.424989,1.3098272
2019/02/01/15:55:57.465547,1.3232384
2019/02/01/15:55:57.496130,1.3366496
2019/02/01/15:55:57.526073,1.3321792
2019/02/01/15:55:57.566733,1.3455904
2019/02/01/15:55:57.596895,1.363472
2019/02/01/15:55:57.626974,1.363472
2019/02/01/15:55:57.667493,1.363472
2019/02/01/15:55:57.698475,1.3768832
2019/02/01/15:55:57.728061,1.3724128
2019/02/01/15:55:57.758109,1.3947648
2019/02/01/15:55:57.799020,1.4126464
2019/02/01/15:55:57.829056,1.408176
2019/02/01/15:55:57.859198,1.3947648
2019/02/01/15:55:57.899959,1.3902944
2019/02/01/15:55:57.930131,1.4037056
2019/02/01/15:55:57.960079,1.4439392
2019/02/01/15:55:58.001165,1.4439392
2019/02/01/15:55:58.030782,1.4484096
2019/02/01/15:55:58.061026,1.4349984
2019/02/01/15:55:58.101768,1.4573504
2019/02/01/15:55:58.132255,1.4618208
2019/02/01/15:55:58.163282,1.4931136
2019/02/01/15:55:58.202938,1.4886432
2019/02/01/15:55:58.233091,1.4841728
2019/02/01/15:55:58.263203,1.4886432
2019/02/01/15:55:58.293318,1.5109952
2019/02/01/15:55:58.333759,1.5109952
2019/02/01/15:55:58.364093,1.5333472
2019/02/01/15:55:58.394341,1.5244064
2019/02/01/15:55:58.435178,1.5244064
2019/02/01/15:55:58.465097,1.5333472
2019/02/01/15:55:58.495113,1.5512288
2019/02/01/15:55:58.535882,1.56464
2019/02/01/15:55:58.565708,1.5601696
2019/02/01/15:55:58.596090,1.5556992
2019/02/01/15:55:58.636484,1.5601696
2019/02/01/15:55:58.666515,1.5556992
2019/02/01/15:55:58.697512,1.5512288
2019/02/01/15:55:58.737345,1.5735808
2019/02/01/15:55:58.767437,1.6138144
2019/02/01/15:55:58.797644,1.631696
2019/02/01/15:55:58.838434,1.6227552
2019/02/01/15:55:58.868342,1.5735808
2019/02/01/15:55:58.898737,1.5780512
2019/02/01/15:55:58.928670,1.586992
2019/02/01/15:55:58.969489,1.6182848
2019/02/01/15:55:58.999699,1.6451072
2019/02/01/15:55:59.029700,1.6227552
2019/02/01/15:55:59.070221,1.609344
2019/02/01/15:55:59.100395,1.6048736
2019/02/01/15:55:59.130766,1.6138144
2019/02/01/15:55:59.171520,1.6406368
2019/02/01/15:55:59.201614,1.6406368
2019/02/01/15:55:59.231701,1.6361664
2019/02/01/15:55:59.261944,1.609344
2019/02/01/15:55:59.302272,1.6182848
2019/02/01/15:55:59.332717,1.631696
2019/02/01/15:55:59.362623,1.654048
2019/02/01/15:55:59.402881,1.6272256
2019/02/01/15:55:59.433518,1.6182848
2019/02/01/15:55:59.464176,1.6227552
2019/02/01/15:55:59.504241,1.6182848
2019/02/01/15:55:59.534368,1.6182848
2019/02/01/15:55:59.564478,1.6004032
2019/02/01/15:55:59.604905,1.6048736
2019/02/01/15:55:59.635189,1.6004032
2019/02/01/15:55:59.665203,1.5735808
2019/02/01/15:55:59.695227,1.5601696
2019/02/01/15:55:59.736224,1.5512288
2019/02/01/15:55:59.766098,1.5467584
2019/02/01/15:55:59.796164,1.5735808
2019/02/01/15:55:59.836851,1.609344
2019/02/01/15:55:59.866980,1.6808704
2019/02/01/15:55:59.907896,1.6898112
2019/02/01/15:55:59.937800,1.6853408
2019/02/01/15:55:59.967785,1.6719296
2019/02/01/15:55:59.998063,1.6451072
2019/02/01/15:56:00.038493,1.6406368
2019/02/01/15:56:00.068676,1.631696
2019/02/01/15:56:00.098579,1.6138144
2019/02/01/15:56:00.139322,1.6138144
2019/02/01/15:56:00.169837,1.5959328
2019/02/01/15:56:00.199578,1.5735808
2019/02/01/15:56:00.240475,1.56464
