time,.data
2020/02/28/11:00:12.699728,0.0
2020/02/28/11:00:12.732555,0.0
2020/02/28/11:00:12.766130,0.0
2020/02/28/11:00:12.800023,0.0
2020/02/28/11:00:12.832962,0.0
2020/02/28/11:00:12.866384,0.0
2020/02/28/11:00:12.899070,0.0
2020/02/28/11:00:12.932801,0.0
2020/02/28/11:00:12.965950,0.0
2020/02/28/11:00:12.999248,0.0
2020/02/28/11:00:13.033296,0.0
2020/02/28/11:00:13.066425,0.0
2020/02/28/11:00:13.099992,0.0
2020/02/28/11:00:13.132864,0.0
2020/02/28/11:00:13.166726,0.0
2020/02/28/11:00:13.199464,0.0
2020/02/28/11:00:13.233219,0.0
2020/02/28/11:00:13.266033,0.0
2020/02/28/11:00:13.299434,0.0
2020/02/28/11:00:13.333186,0.0
2020/02/28/11:00:13.366894,0.0
2020/02/28/11:00:13.400297,0.0
2020/02/28/11:00:13.432899,0.0
2020/02/28/11:00:13.466915,0.0
2020/02/28/11:00:13.500042,0.0
2020/02/28/11:00:13.532973,0.0
2020/02/28/11:00:13.566487,0.0
2020/02/28/11:00:13.600596,0.0
2020/02/28/11:00:13.633317,0.0
2020/02/28/11:00:13.667096,0.0
2020/02/28/11:00:13.699990,0.0
2020/02/28/11:00:13.733378,0.0
2020/02/28/11:00:13.767601,0.022352
2020/02/28/11:00:13.800759,0.0357632
2020/02/28/11:00:13.833513,0.0581152
2020/02/28/11:00:13.866667,0.089408
2020/02/28/11:00:13.900836,0.1072896
2020/02/28/11:00:13.933568,0.0804672
2020/02/28/11:00:13.967567,0.022352
2020/02/28/11:00:14.000319,0.0536448
2020/02/28/11:00:14.034157,0.0357632
2020/02/28/11:00:14.067040,0.0134112
2020/02/28/11:00:14.100702,0.0715264
2020/02/28/11:00:14.133874,0.067056
2020/02/28/11:00:14.167722,0.022352
2020/02/28/11:00:14.200527,0.0134112
2020/02/28/11:00:14.234124,0.0134112
2020/02/28/11:00:14.267097,0.0536448
2020/02/28/11:00:14.300855,0.0625856
2020/02/28/11:00:14.334768,0.0491744
2020/02/28/11:00:14.368409,0.0312928
2020/02/28/11:00:14.401227,0.022352
2020/02/28/11:00:14.434601,0.0536448
2020/02/28/11:00:14.467962,0.0715264
2020/02/28/11:00:14.500649,0.067056
2020/02/28/11:00:14.534055,0.0536448
2020/02/28/11:00:14.567465,0.0581152
2020/02/28/11:00:14.601569,0.067056
2020/02/28/11:00:14.634919,0.0849376
2020/02/28/11:00:14.667405,0.0849376
2020/02/28/11:00:14.701279,0.0804672
2020/02/28/11:00:14.734500,0.0804672
2020/02/28/11:00:14.767706,0.0983488
2020/02/28/11:00:14.801319,0.1072896
2020/02/28/11:00:14.835691,0.1162304
2020/02/28/11:00:14.867984,0.1162304
2020/02/28/11:00:14.901319,0.1162304
2020/02/28/11:00:14.935402,0.1207008
2020/02/28/11:00:14.968494,0.134112
2020/02/28/11:00:15.002486,0.1385824
2020/02/28/11:00:15.035305,0.1519936
2020/02/28/11:00:15.069043,0.156464
2020/02/28/11:00:15.102970,0.156464
2020/02/28/11:00:15.135694,0.1743456
2020/02/28/11:00:15.168604,0.1966976
2020/02/28/11:00:15.202366,0.201168
2020/02/28/11:00:15.236782,0.1922272
2020/02/28/11:00:15.269668,0.1922272
2020/02/28/11:00:15.302224,0.201168
2020/02/28/11:00:15.337086,0.2279904
2020/02/28/11:00:15.368904,0.245872
2020/02/28/11:00:15.403260,0.245872
2020/02/28/11:00:15.436336,0.2324608
2020/02/28/11:00:15.469081,0.2324608
2020/02/28/11:00:15.502819,0.245872
2020/02/28/11:00:15.536635,0.2861056
2020/02/28/11:00:15.569833,0.3039872
2020/02/28/11:00:15.602824,0.2995168
2020/02/28/11:00:15.636692,0.2816352
2020/02/28/11:00:15.669679,0.2995168
2020/02/28/11:00:15.702917,0.3084576
2020/02/28/11:00:15.736113,0.3263392
2020/02/28/11:00:15.770079,0.3308096
2020/02/28/11:00:15.803038,0.3308096
2020/02/28/11:00:15.836608,0.3308096
2020/02/28/11:00:15.869659,0.3442208
2020/02/28/11:00:15.904555,0.3621024
2020/02/28/11:00:15.936916,0.3621024
