time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.enabled,.override_active,.command_output_fault,.input_output_fault,.output_reported_fault,.pacmod_fault,.vehicle_fault,.manual_input,.command,.output
2019/02/01/15:55:50.512732,19797,1549058150,512581820,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.552656,19798,1549058150,552421955,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.584291,19799,1549058150,583034398,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.613632,19800,1549058150,613193106,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.653886,19801,1549058150,653477960,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.684913,19802,1549058150,683670342,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.714106,19803,1549058150,713875968,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.754265,19804,1549058150,753977194,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.785403,19805,1549058150,784885421,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.815267,19806,1549058150,814896555,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.855360,19807,1549058150,854868929,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.886446,19808,1549058150,885309793,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.916434,19809,1549058150,915753621,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.946361,19810,1549058150,946020043,pacmod,False,False,False,False,False,False,False,-0.001,0.0,0.0
2019/02/01/15:55:50.987859,19811,1549058150,987358802,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.017189,19812,1549058151,16659222,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.047483,19813,1549058151,46962750,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.087742,19814,1549058151,87137809,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.118241,19815,1549058151,117672962,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.148364,19816,1549058151,148003620,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.188453,19817,1549058151,188075088,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.219122,19818,1549058151,218654211,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.249477,19819,1549058151,248925087,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.279443,19820,1549058151,279210729,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.319794,19821,1549058151,319417144,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.350070,19822,1549058151,349684948,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.380771,19823,1549058151,380631102,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.420410,19824,1549058151,420196830,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.451091,19825,1549058151,450560035,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.481247,19826,1549058151,480883287,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.521647,19827,1549058151,521170729,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.552072,19828,1549058151,551432961,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.582310,19829,1549058151,581894294,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
2019/02/01/15:55:51.622282,19830,1549058151,622125889,pacmod,False,False,False,False,False,False,False,0.0,0.0,0.0
