time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.enabled,.override_active,.command_output_fault,.input_output_fault,.output_reported_fault,.pacmod_fault,.vehicle_fault,.manual_input,.command,.output
2020/02/28/11:00:07.263867,8856,1582909207,263781450,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.297942,8857,1582909207,297882096,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.331189,8858,1582909207,331125255,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.364037,8859,1582909207,363930954,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.397861,8860,1582909207,397776436,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.430892,8861,1582909207,430830044,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.464284,8862,1582909207,464154725,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.498280,8863,1582909207,498180549,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.531648,8864,1582909207,531555197,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.564370,8865,1582909207,564270054,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.598279,8866,1582909207,598175861,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.631523,8867,1582909207,631399338,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.664598,8868,1582909207,664523629,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.697351,8869,1582909207,697292453,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.731158,8870,1582909207,731065020,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.765255,8871,1582909207,765170655,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.797839,8872,1582909207,797728694,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.831510,8873,1582909207,831446819,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.865631,8874,1582909207,865562508,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.898050,8875,1582909207,897956777,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.932682,8876,1582909207,932595034,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.964890,8877,1582909207,964800294,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:07.997545,8878,1582909207,997477398,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.031409,8879,1582909208,31317154,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.065222,8880,1582909208,65100887,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.098659,8881,1582909208,98564050,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.131526,8882,1582909208,131433984,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.165453,8883,1582909208,165314924,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.198092,8884,1582909208,198001954,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.231967,8885,1582909208,231900029,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.264970,8886,1582909208,264805265,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.298105,8887,1582909208,297997180,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.332098,8888,1582909208,331987257,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.365146,8889,1582909208,365080661,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.399100,8890,1582909208,398973182,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.432377,8891,1582909208,432282517,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.465268,8892,1582909208,465171424,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.499468,8893,1582909208,499343919,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.532316,8894,1582909208,532255933,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.565718,8895,1582909208,565617737,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.600019,8896,1582909208,599958963,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.632779,8897,1582909208,632724598,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.666516,8898,1582909208,666432561,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.699468,8899,1582909208,699394748,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.733219,8900,1582909208,733160051,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.766037,8901,1582909208,765963860,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.799846,8902,1582909208,799745521,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.833501,8903,1582909208,833349224,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.866532,8904,1582909208,866460892,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.899743,8905,1582909208,899653754,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.932625,8906,1582909208,932513685,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.966461,8907,1582909208,966320689,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:08.999175,8908,1582909208,999110752,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.033048,8909,1582909209,32958011,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.066606,8910,1582909209,66550127,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.099893,8911,1582909209,99831294,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.133860,8912,1582909209,133796965,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.166639,8913,1582909209,166581315,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.200159,8914,1582909209,200103706,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.234800,8915,1582909209,234739066,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.268404,8916,1582909209,268320165,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.301085,8917,1582909209,301012904,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.334811,8918,1582909209,334690227,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.368250,8919,1582909209,368188465,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
2020/02/28/11:00:09.401091,8920,1582909209,400988294,pacmod,False,False,False,False,False,False,False,0.174,0.0,0.174
