time,.data
2020/02/28/11:11:04.171996,0.8180832
2020/02/28/11:11:04.204857,0.827024
2020/02/28/11:11:04.238591,0.8314944
2020/02/28/11:11:04.271771,0.827024
2020/02/28/11:11:04.304861,0.827024
2020/02/28/11:11:04.338009,0.8449056
2020/02/28/11:11:04.371637,0.8627872
2020/02/28/11:11:04.404465,0.8851392
2020/02/28/11:11:04.438304,0.938784
2020/02/28/11:11:04.470972,0.8896096
2020/02/28/11:11:04.504320,0.7957312
2020/02/28/11:11:04.537809,0.6884416
2020/02/28/11:11:04.571235,0.759968
2020/02/28/11:11:04.604277,0.8359648
2020/02/28/11:11:04.638011,0.9253728
2020/02/28/11:11:04.672259,0.8538464
2020/02/28/11:11:04.705096,0.78232
2020/02/28/11:11:04.738355,0.7420864
2020/02/28/11:11:04.772848,0.8583168
2020/02/28/11:11:04.805694,0.9209024
2020/02/28/11:11:04.839409,0.9343136
2020/02/28/11:11:04.872007,0.8404352
2020/02/28/11:11:04.905796,0.804672
2020/02/28/11:11:04.938399,0.8449056
2020/02/28/11:11:04.972476,0.9566656
2020/02/28/11:11:05.005251,0.9879584
2020/02/28/11:11:05.039026,0.9432544
2020/02/28/11:11:05.072560,0.871728
2020/02/28/11:11:05.105530,0.8806688
2020/02/28/11:11:05.138931,0.9566656
2020/02/28/11:11:05.172409,1.0192512
2020/02/28/11:11:05.206478,1.0147808
2020/02/28/11:11:05.239946,0.9566656
2020/02/28/11:11:05.273597,0.9566656
2020/02/28/11:11:05.305962,0.9968992
2020/02/28/11:11:05.340197,1.0550144
2020/02/28/11:11:05.372852,1.0684256
2020/02/28/11:11:05.406610,1.0594848
2020/02/28/11:11:05.439345,1.0326624
2020/02/28/11:11:05.472770,1.0594848
2020/02/28/11:11:05.506585,1.0773664
2020/02/28/11:11:05.539847,1.1131296
2020/02/28/11:11:05.573612,1.1131296
2020/02/28/11:11:05.606091,1.1086592
2020/02/28/11:11:05.639234,1.1176
2020/02/28/11:11:05.672776,1.139952
2020/02/28/11:11:05.705683,1.1533632
2020/02/28/11:11:05.739588,1.1533632
2020/02/28/11:11:05.773265,1.1488928
2020/02/28/11:11:05.805948,1.162304
2020/02/28/11:11:05.841129,1.1891264
2020/02/28/11:11:05.872697,1.2025376
2020/02/28/11:11:05.906155,1.1935968
2020/02/28/11:11:05.939915,1.1980672
2020/02/28/11:11:05.973207,1.2114784
2020/02/28/11:11:06.006225,1.2383008
2020/02/28/11:11:06.040361,1.251712
2020/02/28/11:11:06.073631,1.251712
2020/02/28/11:11:06.106814,1.2651232
