-0.0976141, -0.576924, -9.74932, 3.4246, -0.0771806
-0.122754, -0.543046, -9.75725, 3.42285, -0.0796066
-0.0901224, -0.538692, -9.78183, 3.42553, -0.0788081
-0.0819082, -0.555863, -9.76344, 3.42388, -0.0812512
-0.0648576, -0.581833, -9.78497, 3.42209, -0.0836904
-0.0862897, -0.549905, -9.78064, 3.42129, -0.0848976
-0.0546761, -0.55722, -9.7281, 3.4197, -0.087368
-0.0612312, -0.558156, -9.76938, 3.41805, -0.0898294
-0.0652782, -0.586177, -9.7459, 3.41837, -0.0835858
-0.0524853, -0.579772, -9.75218, 3.41689, -0.0859965
-0.0680374, -0.55602, -9.7788, 3.41538, -0.0883423
-0.0580646, -0.539765, -9.75137, 3.41462, -0.0895109
-0.0724767, -0.542043, -9.72868, 3.41322, -0.0918226
-0.0389919, -0.577562, -9.74939, 3.41182, -0.0942994
-0.0543503, -0.583925, -9.78813, 3.41905, -0.0858837
-0.0198381, -0.589769, -9.75714, 3.41775, -0.088068
-0.0353574, -0.564752, -9.72871, 3.41669, -0.0903223
-0.0435136, -0.539085, -9.72726, 3.41604, -0.091433
-0.0463723, -0.57953, -9.71888, 3.41493, -0.0936526
-0.0287598, -0.584222, -9.81383, 3.41392, -0.0959227
-0.0303919, -0.556978, -9.81105, 3.41878, -0.0869991
-0.0619824, -0.564217, -9.78958, 3.41797, -0.0890107
-0.05989, -0.542768, -9.75145, 3.41722, -0.091089
-0.0463247, -0.545001, -9.73344, 3.4168, -0.0921744
-0.050453, -0.560034, -9.7184, 3.41612, -0.0942504
-0.0510331, -0.589561, -9.77979, 3.41553, -0.0964011
-0.0609659, -0.592593, -9.80608, 3.40392, -0.0737878
-0.0428755, -0.55487, -9.82916, 3.4032, -0.0755448
-0.0355738, -0.530436, -9.74018, 3.40252, -0.0773
-0.0554008, -0.553825, -9.68887, 3.40212, -0.0781353
-0.0610941, -0.530555, -9.74807, 3.40158, -0.0799367
-0.0387373, -0.573768, -9.75395, 3.40108, -0.0817991
-0.058722, -0.574274, -9.79573, 3.4046, -0.075079
-0.0484682, -0.545086, -9.80574, 3.40404, -0.0767544
-0.087512, -0.55338, -9.8192, 3.40371, -0.0784111
-0.11055, -0.555473, -9.74661, 3.40354, -0.0792731
-0.125089, -0.584215, -9.72519, 3.40306, -0.0809554
-0.107592, -0.580181, -9.73183, 3.4026, -0.082551
-0.122183, -0.567721, -9.73149, 3.40744, -0.076693
-0.090147, -0.536204, -9.75252, 3.40714, -0.0782652
-0.0788671, -0.52643, -9.76831, 3.40666, -0.0797968
-0.104107, -0.553951, -9.73074, 3.40647, -0.0805733
-0.09527, -0.565886, -9.77471, 3.40596, -0.0822337
-0.0589055, -0.579379, -9.8086, 3.4054, -0.0838893
-0.0598568, -0.562198, -9.82563, 3.40657, -0.079022
-0.0264019, -0.56063, -9.77066, 3.40614, -0.0805547
-0.0815048, -0.564634, -9.70762, 3.40578, -0.0820605
-0.0879258, -0.555146, -9.70581, 3.40563, -0.0829483
